Artikelnummer;Bezeichnung;Model;Size;ModellSize;URL
02110001100A100;B-Zylindertrompete;Modell 11;;Modell 11;https://www.miraphone.de/bb-trumpet-rotary-valves-26.html
02110001100A120;B-Zylindertrompete;Modell 11;;Modell 11;https://www.miraphone.de/bb-trumpet-rotary-valves-25.html
02110001101A100;B-Zylindertrompete;Modell 11;;Modell 11;https://www.miraphone.de/bb-trumpet-rotary-valves-24.html
02110001102A100;B-Zylindertrompete;Modell 11;4/4;Modell 11 Size (4/4);https://www.miraphone.de/bb-trumpet-rotary-valves-23.html
029R0000700A;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-22.html
029R0000700A100;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-21.html
029R0000700A110;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-20.html
029R0000702A;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-19.html
029R0000702A100;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-18.html
029R0000702AP10;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-piston-valves-10.html
029R0001100A;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-17.html
029R0001100A100;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-16.html
029R0001100A110;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-15.html
029R0001100A120;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-14.html
029R0001101A;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-13.html
029R0001101A100;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-12.html
029R0001101A120;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-11.html
029R0001102A;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-10.html
029R0001102A100;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-9.html
029R0001102A120;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-8.html
029R0001102AP10;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-7.html
029R1001100A;B-Zylindertrompete;Modell 9R;;Modell 9R;https://www.miraphone.de/bb-trumpet-rotary-valves-6.html
